1:binCentralValue 2:valuesAverage 3:multiplicity
25.5 2.077095833644658e-39 432
26 8.964148776760865e-40 200
26.5 8.28551945757176e-40 168
27 2.744556651979959e-40 56
27.5 4.493806392141751e-41 7

0.5 8.967378383675101e-13 18
1 2.210639362796562e-12 62
1.5 3.653400541797052e-12 98
2 2.763212359000483e-12 210
2.5 3.010613304343801e-14 350
3 1.054121607726206e-16 450
3.5 1.569280172218188e-17 602
4 8.093677126369731e-18 762
4.5 2.230862389739441e-18 1142
5 2.74571744323661e-19 1250
5.5 3.628800291327467e-20 1458
6 1.578659545249186e-21 1814
6.5 2.735362400579643e-23 2178
7 3.790941880167502e-24 2498
7.5 2.625377884241016e-25 2622
8 4.594812363030991e-26 3338
8.5 5.980310427658289e-27 3722
9 2.012532308818504e-28 4170
9.5 5.691344227379132e-29 4358
10 1.35664803889709e-29 5034
10.5 1.297347838699583e-30 5714
11 2.118760071041903e-32 5982
11.5 9.228145088287446e-34 6602
12 9.667674795588054e-35 7130
12.5 7.70517270386956e-35 8034
13 1.86972739229007e-35 8606
13.5 2.62360957566126e-36 9066
14 3.052165654412224e-37 9962
14.5 1.951687140739621e-37 10550
15 2.167578933177682e-37 11226
15.5 2.728736833597543e-37 12146
16 2.996231517788396e-37 12303
16.5 3.394140852151745e-37 12584
17 3.540344887689775e-37 12120
17.5 3.549855085144709e-37 11180
18 3.671722692545658e-37 11096
18.5 3.530981591584281e-37 10056
19 3.649191580690518e-37 9716
19.5 3.411247812528363e-37 8604
20 3.340443800423683e-37 8060
20.5 3.310406330369841e-37 7320
21 3.007158171582503e-37 6356
21.5 2.753924726414313e-37 5348
22 2.391730956288639e-37 4308
22.5 2.033785741162203e-37 3563
23 1.419963176995623e-37 2448
23.5 1.121227584986938e-37 1868
24 8.4040246525954e-38 1358
24.5 6.735052725817588e-38 1062
25 4.550864695752289e-38 776
25.5 2.853524827803787e-38 432
26 1.29384927892242e-38 200
26.5 1.00895985732541e-38 168
27 3.987870676917619e-39 56
27.5 6.229829247566516e-40 7

0.5 3.150448492879478e-12 18
1 8.442609642306058e-12 62
1.5 5.411464027819312e-11 98
2 3.164679781166715e-11 210
2.5 5.815590994918944e-12 350
3 3.891175959960862e-13 450
